date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:45	364/364	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jul%202020%2015:23:45%20GMT	http://13.232.13.233/robots.txt		(from )
20:53:46	15093/15093	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2015:23:44%20GMT	http://13.232.13.233/jsp/login.jsp	C:/My%20Web%20Sites/mapping/13.232.13.233/jsp/login.html	(from )
20:53:46	3515/3515	---M--	200	added ('OK')	image/png	etag:W/%223515-1554698838000%22	http://13.232.13.233/images/logo/fv.png	C:/My%20Web%20Sites/mapping/13.232.13.233/images/logo/fv.png	(from http://13.232.13.233/jsp/login.jsp)
20:53:46	6318/6318	---M--	200	added ('OK')	image/png	etag:W/%226318-1554698839000%22	http://13.232.13.233/images/logo/logo.png	C:/My%20Web%20Sites/mapping/13.232.13.233/images/logo/logo.png	(from http://13.232.13.233/jsp/login.jsp)
20:53:46	1740/1740	---M--	200	added ('OK')	image/png	etag:W/%221740-1554698837000%22	http://13.232.13.233/images/close_popup.png	C:/My%20Web%20Sites/mapping/13.232.13.233/images/close_popup.png	(from http://13.232.13.233/jsp/login.jsp)
20:53:47	5130/5130	---M--	200	added ('OK')	image/png	etag:W/%225130-1554698837000%22	http://13.232.13.233/images/login_button_login_press_99x30.png	C:/My%20Web%20Sites/mapping/13.232.13.233/images/login_button_login_press_99x30.png	(from http://13.232.13.233/jsp/login.jsp)
20:53:47	5206/5206	---M--	200	added ('OK')	image/png	etag:W/%225206-1554698837000%22	http://13.232.13.233/images/login_button_reset_press_99x30.png	C:/My%20Web%20Sites/mapping/13.232.13.233/images/login_button_reset_press_99x30.png	(from http://13.232.13.233/jsp/login.jsp)
20:53:47	5076/5076	---M--	200	added ('OK')	image/png	etag:W/%225076-1554698837000%22	http://13.232.13.233/images/login_button_99x30.png	C:/My%20Web%20Sites/mapping/13.232.13.233/images/login_button_99x30.png	(from http://13.232.13.233/jsp/login.jsp)
20:53:47	5160/5160	---M--	200	added ('OK')	image/png	etag:W/%225160-1554698837000%22	http://13.232.13.233/images/login_button_reset_99x30.png	C:/My%20Web%20Sites/mapping/13.232.13.233/images/login_button_reset_99x30.png	(from http://13.232.13.233/jsp/login.jsp)
20:53:48	7316/7316	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2015:23:47%20GMT	http://13.232.13.233/jsp/paymentLogin.jsp	C:/My%20Web%20Sites/mapping/13.232.13.233/jsp/paymentLogin.html	(from http://13.232.13.233/jsp/login.jsp)
